rep,q,n_calls,n_modelos_distintos,actual_total_s,actual_load_s,hyp_load_s,ahorro_s,hyp_total_s
1,q001,14,3,2037.16,880.259,183.354,696.905,1340.255
1,q002,14,3,1834.404,884.614,198.986,685.628,1148.776
1,q003,14,3,1704.968,875.341,197.404,677.937,1027.031
1,q004,14,3,1786.599,892.353,198.218,694.135,1092.464
1,q005,14,3,1805.474,892.874,198.516,694.358,1111.116
1,q006,14,3,1859.317,903.195,207.067,696.128,1163.189
1,q007,14,3,2076.06,909.677,203.686,705.991,1370.069
1,q008,14,3,1814.798,873.045,197.216,675.829,1138.969
1,q009,14,3,2044.118,929.176,209.644,719.532,1324.586
1,q010,14,3,1977.558,898.963,202.129,696.834,1280.724
1,q011,14,3,1722.31,839.294,161.14,678.154,1044.156
1,q012,14,3,1797.849,893.531,201.029,692.502,1105.347
1,q013,14,3,1982.674,877.658,196.305,681.353,1301.321
1,q014,14,3,2085.715,860.581,188.123,672.458,1413.257
1,q015,14,3,1898.709,872.42,195.667,676.753,1221.956
1,q016,14,3,1717.831,854.915,193.757,661.158,1056.673
1,q017,14,3,1905.763,883.655,200.82,682.835,1222.928
1,q018,14,3,1942.989,868.625,198.005,670.62,1272.369
1,q019,14,3,1797.809,870.978,196.361,674.617,1123.192
1,q020,14,3,1805.489,855.65,188.837,666.813,1138.676
1,q021,14,3,1747.599,853.675,191.848,661.827,1085.772
1,q022,14,3,1908.046,898.206,195.278,702.928,1205.118
1,q023,14,3,1698.428,849.361,190.991,658.37,1040.058
1,q024,14,3,1696.063,863.848,195.225,668.623,1027.44
1,q025,14,3,2008.914,869.281,194.675,674.606,1334.308
1,q026,14,3,1717.118,866.82,197.168,669.652,1047.466
1,q027,14,3,1847.742,882.742,196.884,685.858,1161.884
1,q028,14,3,2006.153,870.397,195.68,674.717,1331.436
1,q029,14,3,1699.568,848.42,187.889,660.531,1039.037
1,q030,14,3,1824.331,858.578,192.545,666.033,1158.298
1,q031,14,3,1806.973,893.254,216.827,676.427,1130.546
1,q032,14,3,1779.528,839.886,190.484,649.402,1130.126
1,q033,14,3,1767.121,860.475,195.835,664.64,1102.481
1,q034,14,3,1831.391,866.603,194.664,671.939,1159.452
1,q035,14,3,1976.627,846.95,190.36,656.59,1320.037
1,q036,14,3,2014.795,892.695,203.135,689.56,1325.235
1,q037,14,3,1932.67,858.548,192.136,666.412,1266.258
1,q038,14,3,1861.464,856.79,195.866,660.924,1200.54
1,q039,14,3,1861.496,895.3,196.992,698.308,1163.188
1,q040,14,3,1861.007,887.665,198.619,689.046,1171.961
1,q041,14,3,1934.323,867.163,198.739,668.424,1265.899
1,q042,14,3,1776.372,855.731,192.495,663.236,1113.136
1,q043,14,3,1850.102,870.4,196.231,674.169,1175.933
1,q044,14,3,1944.662,856.132,194.009,662.123,1282.539
1,q045,14,3,1746.758,857.958,192.724,665.234,1081.524
1,q046,14,3,1637.171,856.756,188.865,667.891,969.28
1,q047,14,3,2054.98,898.59,197.568,701.022,1353.958
1,q048,14,3,1705.592,849.196,187.568,661.628,1043.964
1,q049,14,3,1852.814,885.626,197.37,688.256,1164.558
1,q050,14,3,1830.269,873.066,191.317,681.749,1148.52
2,q001,14,3,1965.083,842.551,160.762,681.789,1283.294
2,q002,14,3,1814.553,873.382,192.597,680.785,1133.768
2,q003,14,3,2024.123,864.138,193.354,670.784,1353.339
2,q004,14,3,1874.745,876.569,199.668,676.901,1197.844
2,q005,14,3,1768.765,879.15,197.883,681.267,1087.498
2,q006,14,3,1911.461,899.717,204.023,695.694,1215.767
2,q007,14,3,1956.298,902.636,204.226,698.41,1257.888
2,q008,14,3,1718.835,846.313,191.014,655.299,1063.536
2,q009,14,3,2048.439,896.606,199.954,696.652,1351.787
2,q010,14,3,1849.24,891.536,201.124,690.412,1158.828
2,q011,14,3,1841.43,882.912,196.682,686.23,1155.2
