           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.17.0, build: 4ab6d2ee
Access web UI at http://localhost:6333/dashboard

2026-08-03T09:30:25.402430Z  WARN qdrant::settings: Config file not found: config/config
2026-08-03T09:30:25.403733Z  WARN qdrant::settings: Config file not found: config/development
2026-08-03T09:30:25.416774Z  WARN qdrant: There is a potential issue with the filesystem for storage path ./storage. Details: Filesystem type check is not supported on this platform
2026-08-03T09:30:25.417327Z  INFO storage::content_manager::consensus::persistent: Loading raft state from ./storage\raft_state.json
2026-08-03T09:30:25.423369Z  INFO storage::content_manager::toc: Loading collection: documents_satcom_uma
2026-08-03T09:30:25.554139Z  INFO collection::shards::local_shard: Recovering shard ./storage\collections\documents_satcom_uma\0: 0/1 (0%)
2026-08-03T09:30:25.599684Z  INFO collection::shards::local_shard: Recovered collection documents_satcom_uma: 1/1 (100%)
2026-08-03T09:30:25.604306Z  INFO qdrant: Distributed mode disabled
2026-08-03T09:30:25.604907Z  INFO qdrant: Telemetry reporting enabled, id: 43820d1e-014a-486d-a814-57468b6e9b67
2026-08-03T09:30:25.624239Z  INFO qdrant::actix: TLS disabled for REST API
2026-08-03T09:30:25.626318Z  INFO qdrant::actix: Qdrant HTTP listening on 6333
2026-08-03T09:30:25.626344Z  INFO actix_server::builder: starting 7 workers
2026-08-03T09:30:25.626363Z  INFO actix_server::server: Actix runtime found; starting in Actix runtime
2026-08-03T09:30:25.626373Z  INFO actix_server::server: starting service: "actix-web-service-0.0.0.0:6333", workers: 7, listening on: 0.0.0.0:6333
2026-08-03T09:30:25.632177Z  INFO qdrant::tonic: Qdrant gRPC listening on 6334
2026-08-03T09:30:25.632208Z  INFO qdrant::tonic: TLS disabled for gRPC API
2026-08-03T09:30:54.544052Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/documents_satcom_uma HTTP/1.1" 200 834 "-" "curl/8.9.0" 0.005337
2026-08-03T09:36:52.641912Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6278 "-" "python-client/1.16.1 python/3.9.1" 0.046790
2026-08-03T09:41:06.810217Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6277 "-" "python-client/1.16.1 python/3.9.1" 0.002992
2026-08-03T09:54:18.835426Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6277 "-" "python-client/1.16.1 python/3.9.1" 0.003039
2026-08-03T10:12:02.628897Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6277 "-" "python-client/1.16.1 python/3.9.1" 0.003188
2026-08-03T10:33:16.636647Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6276 "-" "python-client/1.16.1 python/3.9.1" 0.002911
