Framework,Modelo,Arquitectura,Reps_usadas,N_debates,N_eval_total,N_eval_fiables,TPS_mean,TPS_std,Total_S_mean,Total_S_std,Tokens_Out_mean,Tokens_Out_std,Tokens_In_mean,Tokens_In_std,Tech_Acc_mean,Tech_Acc_std,Ctx_Adh_mean,Ctx_Adh_std,Dec_Cap_mean,Dec_Cap_std,Final_Score_mean,Final_Score_std,Halluc_Low_n,Halluc_Low_pct,Halluc_Med_n,Halluc_Med_pct,Halluc_High_n,Halluc_High_pct
LangGraph,2B,individual,1+2+3,150,150,150,51.72,8.46,12.03,3.81,119.36,28.81,2350.67,353.33,5.99,2.71,6.23,2.86,3.95,2.21,5.16,2.46,116,77.3,34,22.7,0,0.0
LangGraph,2B,homogeneo,1+2+3,150,147,147,82.64,7.63,61.54,7.66,1485.89,97.83,32356.19,3616.53,5.56,2.59,6.48,2.6,4.75,2.16,5.1,2.6,95,64.6,44,29.9,8,5.4
LangGraph,2B,heterogeneo,1+2+3,150,143,143,97.65,2.59,82.61,9.79,4644.36,582.96,36488.48,3940.67,5.99,2.58,6.83,2.44,5.08,2.15,5.5,2.58,99,69.2,38,26.6,6,4.2
LangGraph,8B,individual,1+2+3,150,150,150,46.63,9.82,12.11,5.53,139.17,21.98,2170.78,329.83,5.28,2.47,5.76,2.65,4.45,2.14,4.76,2.39,97,64.7,51,34.0,2,1.3
LangGraph,8B,homogeneo,1+2+3,150,149,149,52.73,5.32,163.06,27.77,2598.03,515.41,37133.57,4564.75,5.0,2.39,5.38,2.65,4.38,1.99,4.3,2.39,66,44.3,75,50.3,8,5.4
LangGraph,8B,heterogeneo,1+2+3,150,150,150,49.16,6.86,148.33,59.93,2359.69,445.88,37733.54,4734.16,5.36,2.45,5.42,2.55,4.59,2.02,4.7,2.4,86,57.3,59,39.3,5,3.3
LangGraph,70B,individual,1+2+3,150,150,150,5.11,0.1,36.27,6.99,78.31,8.86,2170.78,329.83,5.48,2.44,6.41,2.28,4.0,1.95,5.0,2.15,130,86.7,20,13.3,0,0.0
LangGraph,70B,homogeneo,1+2+3,150,150,150,5.24,0.04,557.44,39.74,1023.61,55.73,28282.48,3341.34,5.86,2.16,6.5,2.48,4.78,1.96,5.41,2.12,120,80.0,30,20.0,0,0.0
LangGraph,70B,heterogeneo,1+2+3,150,150,150,5.12,0.02,1861.31,119.2,3591.13,481.38,32215.37,3720.43,6.23,2.09,6.72,2.3,4.93,1.85,5.61,2.12,111,74.0,39,26.0,0,0.0
AutoGen,8B,heterogeneo,1+2+3,150,150,150,21.41,6.65,216.71,133.23,3922.81,983.02,67065.39,8349.34,6.67,2.08,7.19,2.37,5.48,1.89,6.22,2.08,129,86.0,21,14.0,0,0.0
CrewAI,8B,heterogeneo,1+2+3,150,149,149,27.64,1.16,247.97,72.6,6866.05,2087.98,69153.75,28765.49,6.68,2.15,8.19,1.56,6.4,1.62,6.43,2.14,104,69.8,44,29.5,1,0.7
